40.0000	15.646497
50.0000	16.962729
63.0000	26.413290
80.0000	21.791853
100.0000	30.977192
125.0000	48.363270
160.0000	33.200150
200.0000	44.699669
250.0000	41.326477
315.0000	52.013508
400.0000	53.583633
500.0000	52.379681
630.0000	54.616779
800.0000	59.572956
1000.0000	65.300606
1250.0000	59.653423
1600.0000	51.166920
2000.0000	46.319336
2500.0000	49.296593
3150.0000	46.930447
4000.0000	48.744350
5000.0000	31.951357
6300.0000	42.585838
8000.0000	41.201241
10000.0000	40.266502
12500.0000	39.494881
16000.0000	39.028103
20000.0000	32.114727
